timestamp,tds_v,tempC,ph_v
20,1.90968,16.000,6.03710
20,1.94194,16.000,6.03710
21,1.93710,16.000,6.03548
22,1.94516,16.000,6.04032
22,1.93871,16.000,6.04355
23,1.95000,16.000,6.03871
23,1.94032,16.000,6.03387
24,1.93710,16.000,6.03226
25,1.93710,16.000,6.03710
25,1.94355,16.000,6.03710
26,1.93871,16.000,6.03387
26,1.94355,16.000,6.03710
27,1.93871,16.000,6.03710
28,1.92419,16.000,6.03548
28,1.94032,16.000,6.03387
29,1.93710,16.000,6.02742
29,1.94032,16.000,6.03710
30,1.93548,16.000,6.04032
31,1.93710,16.000,6.04032
31,1.93548,16.000,6.04355
32,1.93871,16.000,6.03710
32,1.93548,16.000,6.03871
33,1.94032,16.000,6.05000
34,1.94516,16.000,6.03871
34,1.94032,16.000,6.03710
35,1.94677,16.000,6.04032
35,1.95000,16.000,6.04355
36,1.93065,16.000,6.04516
37,1.94194,16.000,6.04194
37,1.94194,16.000,6.04355
37,1.93387,16.000,6.04839
37,1.94194,16.000,6.03871
38,1.94355,16.000,6.04839
39,1.92258,16.000,6.04194
39,1.94194,16.000,6.04677
40,1.94194,16.000,6.03871
40,1.94032,16.000,6.03871
41,1.94516,16.000,6.04355
42,1.93548,16.000,6.04194
42,1.93710,16.000,6.04355
43,1.96774,16.000,6.04355
44,1.93871,16.000,6.03710
44,1.93548,16.000,6.03548
45,1.93387,16.000,6.03710
45,1.94355,16.000,6.03548
46,1.94194,16.000,6.03871
47,1.95000,16.000,6.04194
47,1.93065,16.000,6.04516
48,1.94032,16.000,6.04032
48,1.94516,16.000,6.03387
49,1.93710,16.000,6.03226
50,1.94032,16.000,6.04032
50,1.93710,16.000,6.04516
51,1.93710,16.000,6.03710
51,1.94194,16.000,6.03548
52,1.93710,16.000,6.04032
53,1.94032,16.000,6.03871
53,1.92097,16.000,6.03710
54,1.93548,16.000,6.03226
54,1.93871,16.000,6.04516
55,1.94194,16.000,6.04677
56,1.94194,16.000,6.04194
56,1.94194,16.000,6.04677
57,1.92419,16.000,6.04355
57,1.91613,16.000,6.04032
58,1.94032,16.000,6.02903
59,1.94194,16.000,6.04032
59,1.93871,16.000,6.04194
60,1.92903,16.000,6.04032
60,1.95161,16.000,6.03065
61,1.94839,16.000,6.04194
62,1.94032,16.000,6.03710
62,1.93871,16.000,6.04677
63,1.94355,16.000,6.03548
63,1.93226,16.000,6.03871
64,1.93871,16.000,6.03871
65,1.94194,16.000,6.04032
65,1.92903,16.000,6.04677
66,1.93710,16.000,6.03548
66,1.93548,16.000,6.04194
67,1.94839,16.000,6.04516
68,1.94032,16.000,6.04032
68,1.94355,16.000,6.03710
69,1.93710,16.000,6.04032
69,1.93871,16.000,6.04516
70,1.93387,16.000,6.03548
71,1.93548,16.000,6.03710
71,1.93710,16.000,6.04516
72,1.93871,16.000,6.03548
72,1.94677,16.000,6.04194
73,1.93548,16.000,6.04032
74,1.94677,16.000,6.04194
74,1.93548,16.000,6.04194
75,1.93871,16.000,6.04677
76,1.94032,16.000,6.04194
76,1.94032,16.000,6.04032
77,1.93710,16.000,6.04516
77,1.94194,16.000,6.03387
78,1.93871,16.000,6.03548
79,1.94516,16.000,6.03710
79,1.93548,16.000,6.04516
79,1.94355,16.000,6.04194
79,1.94516,16.000,6.03548
80,1.94032,16.000,6.03387
81,1.93387,16.000,6.03387
81,1.93871,16.000,6.04839
82,1.94355,16.000,6.03871
82,1.93387,16.000,6.03548
83,1.94032,16.000,6.04194
84,1.94677,16.000,6.03871
84,1.93871,16.000,6.04194
85,1.93710,16.000,6.03871
85,1.94839,16.000,6.04355
86,1.94032,16.000,6.04355
87,1.92742,16.000,6.04032
87,1.92581,16.000,6.04355
88,1.93387,16.000,6.04355
88,1.94839,16.000,6.04355
89,1.93871,16.000,6.04194
90,1.93871,16.000,6.03871
90,1.94516,16.000,6.04516
91,1.94032,16.000,6.04032
91,1.94516,16.000,6.04355
92,1.93871,16.000,6.04032
93,1.94032,16.000,6.05000
93,1.93387,16.000,6.05000
94,1.94355,16.000,6.03871
